"label","year","month","day","region","island","side","id_reef","reef","reef_joined","protection_status","latitude","longitude","habitat","transect","area","phylum","taxa1","taxa2","taxa3","family","trophic_group","trophic_level","functional_groups","a_ord","b_pen","species","quantity","size","biomass"
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Pomacentridae","Zooplanktivore",3.82,"planktivores",0.017,3.12,"Abudefduf saxatilis",1,4,2e-04
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Windward",9,"Tata y Rafa",3,"MPA",22.553851,-89.653701,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Tetraodontiformes","Balistidae","Carnivore",3.34,"macro-invertivores",0.0443,2.829,"Balistes vetula",1,30,0.1114
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",15,"Final",10,"OA",23.171183,-88.951301,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Tetraodontiformes","Balistidae","Carnivore",3.34,"macro-invertivores",0.0443,2.829,"Balistes vetula",1,30,0.1114
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0194,3,"Sparisoma rubripinne",1,26,0.0568
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",4,"Sardinas",4,"NTZ",22.505367,-89.795701,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0194,3,"Sparisoma rubripinne",1,35,0.1386
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0194,3,"Sparisoma rubripinne",1,20,0.0259
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",4,"Sardinas",4,"NTZ",22.505367,-89.795701,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0194,3,"Sparisoma rubripinne",1,35,0.1386
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward",1,"Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,20,0.0596
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward",1,"Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,9,0.0029
